	Unnamed: 0	key	Page Links	Titles	Gender	IsDeleted	Word Count
101	101	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/WalkAway_campaign	WalkAway campaign	Male	False	0
102	102	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Freelandia	Freelandia	Male	False	0
103	103	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Housing_Rights_and_Reform_Alliance	Housing Rights and Reform Alliance	Male	False	0
104	104	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Coach_Meddy	Coach Meddy	Male	True	0
105	105	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Olakunbi_Olasope	Olakunbi Olasope	Female	False	0
106	106	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Miss_Issa	Miss Issa	Female	True	0
107	107	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Philipp_Brinkmann	Philipp Brinkmann	Male	False	0
108	108	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Mohammad_Moyeenul_Haque	Mohammad Moyeenul Haque	Male	False	0
109	109	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Hoon_(fiction)	Hoon (fiction)	Male	False	0
110	110	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Karen_Davis_(singer)	Karen Davis (singer)	Female	True	0
111	111	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Ganesh_Dhungana	Ganesh Dhungana	Male	True	0
112	112	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Madrat_and_Chiko	Madrat and Chiko	Male	True	0
113	113	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Harriet_Carter	Harriet Carter	Female	True	0
114	114	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/List_of_ACM-W_chapters	List of ACM-W chapters	Female	True	0
115	115	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/St_Agnes-by-the-Lake_Episcopal_Church_(Algoma,_Wisconsin)	St Agnes-by-the-Lake Episcopal Church (Algoma, Wisconsin)	Female	False	0
116	116	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Cuco_(musician)	Cuco (musician)	Male	True	0
