	key	Page Links	Titles	Gender	IsDeleted
60	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Punyaha	Punyaha	Unknown	False
61	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/World_Law_Group	World Law Group	Unknown	False
62	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Geraldine_Weir-Rogers_v._Sf_Trust_Ltd	Geraldine Weir-Rogers v. Sf Trust Ltd	Female	False
63	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Alma_and_Lila_L%C3%A9vy	Alma and Lila Lévy	Female	False
64	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/One_Night_(2009_film)	One Night (2009 film)	Female	False
65	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/w/index.php?title=Masonite_(web_framework)&action=edit&redlink=1	Masonite (web framework) (page does not exist)	Unknown	True
66	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Kanish_Sharma	Kanish Sharma	Male	False
67	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Edwin_C.O._Uzor	Edwin C.O. Uzor	Male	False
68	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Shivani_Rajasekhar	Shivani Rajasekhar	Female	False
69	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Atlantis_Group	Atlantis Group	Male	False
70	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/w/index.php?title=Rudolf_Schirmer_Ampofo-Domfeh&action=edit&redlink=1	Rudolf Schirmer Ampofo-Domfeh (page does not exist)	Unknown	True
71	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Prof._Crispus_Makau_Kiamba	Prof. Crispus Makau Kiamba	Male	False
72	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Kshitij_Tarey	Kshitij Tarey	Male	False
73	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Sunwing_Family_Resorts	Sunwing Family Resorts	Unknown	False
74	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Shopwise	Shopwise	Unknown	False
75	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Court_of_General_Jurisdiction_of_the_People%27s_Republic_of_China	Court of General Jurisdiction of the People's Republic of China	Unknown	False
76	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Thoudang	Thoudang	Female	False
77	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Soul_Button	Soul Button	Male	False
78	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Asenso_Manile%C3%B1o	Asenso Manileño	Unknown	False
79	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Billie_(company)	Billie (company)	Unknown	False
80	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Algani	Algani	Unknown	False
81	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Barry_Shrier	Barry Shrier	Male	False
82	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/LAPA_Publishers	LAPA Publishers	Male	False
83	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Dilly_Braimoh	Dilly Braimoh	Male	False
84	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/World_Book_of_Records	World Book of Records	Male	False
85	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Laman_Ama	Laman Ama	Female	False
86	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Hu_Xingdou	Hu Xingdou	Male	False
87	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Mohammad-Ali_Abdollahi	Mohammad-Ali Abdollahi	Male	False
88	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Camila_Morrone	Camila Morrone	Female	False
89	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Ilirian_Gjata	Ilirian Gjata	Male	False
90	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Ranald_MacDonald_Award	Ranald MacDonald Award	Unknown	False
91	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Eritrea_at_the_2022_Winter_Olympics	Eritrea at the 2022 Winter Olympics	Male	False
92	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Naum_Koen	Naum Koen	Male	False
